"","joueur","equipe","clust"
"1","Abdul Majeed Waris","Strasbourg","1"
"2","Achraf Hakimi","Paris S-G","2"
"3","Adil Rami","Troyes","2"
"4","Adrian Grbić","Lorient","1"
"5","Adrien Thomasson","Strasbourg","3"
"6","Adrien Truffert","Rennes","2"
"7","Alberth Elis","Bordeaux","2"
"8","Aleksandr Golovin","Monaco","1"
"9","Alexander Djiku","Strasbourg","2"
"10","Alexis Flips","Reims","3"
"11","Amadou Onana","Lille","1"
"12","Ambroise Oyongo","Montpellier","1"
"13","Amine Gouiri","Nice","4"
"14","Amine Harit","Marseille","1"
"15","Ander Herrera","Paris S-G","2"
"16","Andrei Girotto","Nantes","2"
"17","Andy Delort","Montpellier","1"
"18","Andy Delort","Nice","4"
"19","Ángel Di María","Paris S-G","3"
"20","Angelo Fulgini","Angers","3"
"21","Arkadiusz Milik","Marseille","3"
"22","Armand Lauriente","Lorient","3"
"23","Arnaud Kalimuendo","Lens","3"
"24","Arnaud Nordin","Saint-Étienne","3"
"25","Aurélien Tchouaméni","Monaco","3"
"26","Axel Disasi","Monaco","2"
"27","Azor Matusiwa","Reims","2"
"28","Azzedine Ounahi","Angers","2"
"29","Bamba Dieng","Marseille","1"
"30","Banzouzi Locko","Reims","1"
"31","Baptiste Santamaria","Rennes","2"
"32","Benjamin André","Lille","2"
"33","Benjamin Bourigeaud","Rennes","5"
"34","Boubacar Kamara","Marseille","2"
"35","Boubacar Traoré","Metz","2"
"36","Boubakar Kouyaté","Metz","2"
"37","Brandon Domingues","Troyes","1"
"38","Brendan Chardonnet","Brest","2"
"39","Burak Yılmaz","Lille","4"
"40","Caio Henrique Oliveira Silva","Monaco","3"
"41","Calvin Stengs","Nice","1"
"42","Castello Lukeba","Lyon","2"
"43","Cédric Bakambu","Marseille","1"
"44","Cédric Hountondji","Clermont Foot","2"
"45","Cengiz Ünder","Marseille","3"
"46","Chimuanya Ugochukwu","Rennes","1"
"47","Danilo Pereira","Paris S-G","2"
"48","David Pereira da Costa","Lens","1"
"49","Denis Bouanga","Saint-Étienne","3"
"50","Dimitri Liénard","Strasbourg","2"
"51","Dimitri Payet","Marseille","5"
"52","Duje Ćaleta-Car","Marseille","2"
"53","Dylan Bronn","Metz","2"
"54","Edon Zhegrova","Lille","1"
"55","El Bilal Touré","Reims","3"
"56","Elba Rashani","Clermont Foot","2"
"57","Emerson Palmieri","Lyon","2"
"58","Evann Guessand","Nice","1"
"59","Fabien Centonze","Metz","2"
"60","Facundo Medina","Lens","2"
"61","Farid Boulaya","Metz","2"
"62","Flavien Tait","Rennes","3"
"63","Florent Mollet","Montpellier","3"
"64","Florent Ogier","Clermont Foot","2"
"65","Florian Sotoca","Lens","4"
